Maxwell2 5097 4769
 0.0000  0.0000  0.0000 -0.0000 -0.0000 -0.0000
-0.9954 -0.9954 -0.9954  0.9999  0.9999  0.9999
-0.9953 -0.9953 -0.9953  0.9999  0.9999  0.9999
-0.9952 -0.9952 -0.9952  0.9999  0.9999  0.9999
-0.9951 -0.9951 -0.9951  0.9999  0.9999  0.9999
-0.9950 -0.9950 -0.9950  0.9999  0.9999  0.9999
-0.9948 -0.9948 -0.9948  0.9999  0.9999  0.9999
-0.9947 -0.9947 -0.9947  0.9999  0.9999  0.9999
-0.9945 -0.9945 -0.9945  0.9999  0.9999  0.9999
-0.9944 -0.9944 -0.9944  0.9999  0.9999  0.9999
-0.9942 -0.9942 -0.9942  0.9999  0.9999  0.9999
-0.9940 -0.9940 -0.9940  0.9999  0.9999  0.9999
-0.9939 -0.9939 -0.9939  0.9999  0.9999  0.9999
-0.9937 -0.9937 -0.9937  0.9999  0.9999  0.9999
-0.9935 -0.9935 -0.9935  0.9999  0.9999  0.9999
-0.9932 -0.9932 -0.9932  0.9999  0.9999  0.9999
-0.9930 -0.9930 -0.9930  0.9999  0.9999  0.9999
-0.9927 -0.9927 -0.9927  0.9999  0.9999  0.9999
-0.9924 -0.9924 -0.9924  0.9999  0.9999  0.9999
-0.9921 -0.9921 -0.9921  0.9999  0.9999  0.9999
-0.9919 -0.9919 -0.9919  0.9999  0.9999  0.9999
-0.9916 -0.9916 -0.9916  0.9999  0.9999  0.9999
-0.9913 -0.9913 -0.9913  0.9999  0.9999  0.9999
-0.9907 -0.9907 -0.9907  0.9999  0.9999  0.9999
-0.9902 -0.9902 -0.9902  0.9999  0.9999  0.9999
-0.9896 -0.9896 -0.9896  0.9999  0.9999  0.9999
-0.9890 -0.9890 -0.9890  0.9999  0.9999  0.9999
-0.9885 -0.9885 -0.9885  0.9999  0.9999  0.9999
-0.9879 -0.9879 -0.9879  0.9999  0.9999  0.9999
-0.9873 -0.9873 -0.9873  0.9999  0.9999  0.9999
-0.9868 -0.9868 -0.9868  0.9999  0.9999  0.9999
-0.9857 -0.9857 -0.9857  0.9999  0.9999  0.9999
-0.9843 -0.9843 -0.9843  0.9999  0.9999  0.9999
-0.9828 -0.9828 -0.9828  0.9999  0.9999  0.9999
-0.9814 -0.9814 -0.9814  0.9999  0.9999  0.9999
-0.9799 -0.9799 -0.9799  0.9999  0.9999  0.9999
-0.9785 -0.9785 -0.9785  0.9999  0.9999  0.9999
-0.9770 -0.9770 -0.9770  0.9999  0.9999  0.9999
-0.9756 -0.9756 -0.9756  0.9999  0.9999  0.9999
-0.9740 -0.9740 -0.9740  0.9999  0.9999  0.9999
-0.9706 -0.9706 -0.9706  0.9999  0.9999  0.9999
-0.9672 -0.9672 -0.9672  0.9999  0.9999  0.9999
-0.9638 -0.9638 -0.9638  0.9999  0.9999  0.9999
-0.9604 -0.9604 -0.9604  0.9999  0.9999  0.9999
-0.9570 -0.9570 -0.9570  0.9999  0.9999  0.9999
-0.9536 -0.9536 -0.9536  0.9999  0.9999  0.9999
-0.9502 -0.9502 -0.9502  0.9999  0.9999  0.9999
-0.9468 -0.9468 -0.9468  0.9999  0.9999  0.9999
-0.9423 -0.9423 -0.9423  0.9999  0.9999  0.9999
-0.9373 -0.9373 -0.9373  0.9999  0.9999  0.9999
-0.9322 -0.9322 -0.9322  0.9999  0.9999  0.9999
-0.9271 -0.9271 -0.9271  0.9999  0.9999  0.9999
-0.9221 -0.9221 -0.9221  0.9999  0.9999  0.9999
-0.9170 -0.9170 -0.9170  0.9999  0.9999  0.9999
-0.9119 -0.9119 -0.9119  0.9999  0.9999  0.9999
-0.9069 -0.9069 -0.9069  0.9999  0.9999  0.9999
-0.9017 -0.9017 -0.9017  0.9999  0.9999  0.9999
-0.8959 -0.8959 -0.8959  0.9999  0.9999  0.9999
-0.8901 -0.8901 -0.8901  0.9999  0.9999  0.9999
-0.8843 -0.8843 -0.8843  0.9999  0.9999  0.9999
-0.8785 -0.8785 -0.8785  0.9999  0.9999  0.9999
-0.8727 -0.8727 -0.8727  0.9999  0.9999  0.9999
-0.8669 -0.8669 -0.8669  0.9999  0.9999  0.9999
-0.8611 -0.8611 -0.8611  0.9999  0.9999  0.9999
-0.8553 -0.8553 -0.8553  0.9999  0.9999  0.9999
-0.8493 -0.8493 -0.8493  0.9999  0.9999  0.9999
-0.8432 -0.8432 -0.8432  0.9999  0.9999  0.9999
-0.8371 -0.8371 -0.8371  0.9999  0.9999  0.9999
-0.8309 -0.8309 -0.8309  0.9999  0.9999  0.9999
-0.8248 -0.8248 -0.8248  0.9999  0.9999  0.9999
-0.8187 -0.8187 -0.8187  0.9999  0.9999  0.9999
-0.8126 -0.8126 -0.8126  0.9999  0.9999  0.9999
-0.8065 -0.8065 -0.8065  0.9999  0.9999  0.9999
-0.8004 -0.8004 -0.8004  0.9999  0.9999  0.9999
-0.7941 -0.7941 -0.7941  0.9999  0.9999  0.9999
-0.7878 -0.7878 -0.7878  0.9999  0.9999  0.9999
-0.7816 -0.7816 -0.7816  0.9999  0.9999  0.9999
-0.7753 -0.7753 -0.7753  0.9999  0.9999  0.9999
-0.7690 -0.7690 -0.7690  0.9999  0.9999  0.9999
-0.7628 -0.7628 -0.7628  0.9999  0.9999  0.9999
-0.7565 -0.7565 -0.7565  0.9999  0.9999  0.9999
-0.7503 -0.7503 -0.7503  0.9999  0.9999  0.9999
-0.7439 -0.7439 -0.7439  0.9999  0.9999  0.9999
-0.7376 -0.7376 -0.7376  0.9999  0.9999  0.9999
-0.7312 -0.7312 -0.7312  0.9999  0.9999  0.9999
-0.7249 -0.7249 -0.7249  0.9999  0.9999  0.9999
-0.7185 -0.7185 -0.7185  0.9999  0.9999  0.9999
-0.7122 -0.7122 -0.7122  0.9999  0.9999  0.9999
-0.7058 -0.7058 -0.7058  0.9999  0.9999  0.9999
-0.6995 -0.6995 -0.6995  0.9999  0.9999  0.9999
-0.6931 -0.6931 -0.6931  0.9999  0.9999  0.9999
-0.6867 -0.6867 -0.6867  0.9999  0.9999  0.9999
-0.6803 -0.6803 -0.6803  0.9999  0.9999  0.9999
-0.6739 -0.6739 -0.6739  0.9999  0.9999  0.9999
-0.6675 -0.6675 -0.6675  0.9999  0.9999  0.9999
-0.6611 -0.6611 -0.6611  0.9999  0.9999  0.9999
-0.6546 -0.6546 -0.6546  0.9999  0.9999  0.9999
-0.6482 -0.6482 -0.6482  0.9999  0.9999  0.9999
-0.6418 -0.6418 -0.6418  0.9999  0.9999  0.9999
-0.6354 -0.6354 -0.6354  0.9999  0.9999  0.9999
-0.6289 -0.6289 -0.6289  0.9999  0.9999  0.9999
-0.6225 -0.6225 -0.6225  0.9999  0.9999  0.9999
-0.6160 -0.6160 -0.6160  0.9999  0.9999  0.9999
-0.6095 -0.6095 -0.6095  0.9999  0.9999  0.9999
-0.6031 -0.6031 -0.6031  0.9999  0.9999  0.9999
-0.5966 -0.5966 -0.5966  0.9999  0.9999  0.9999
-0.5902 -0.5902 -0.5902  0.9999  0.9999  0.9999
-0.5837 -0.5837 -0.5837  0.9999  0.9999  0.9999
-0.5772 -0.5772 -0.5772  0.9999  0.9999  0.9999
-0.5707 -0.5707 -0.5707  0.9999  0.9999  0.9999
-0.5642 -0.5642 -0.5642  0.9999  0.9999  0.9999
-0.5577 -0.5577 -0.5577  0.9999  0.9999  0.9999
-0.5512 -0.5512 -0.5512  0.9999  0.9999  0.9999
-0.5447 -0.5447 -0.5447  0.9999  0.9999  0.9999
-0.5382 -0.5382 -0.5382  0.9999  0.9999  0.9999
-0.5317 -0.5317 -0.5317  0.9999  0.9999  0.9999
-0.5252 -0.5252 -0.5252  0.9999  0.9999  0.9999
-0.5187 -0.5187 -0.5187  0.9999  0.9999  0.9999
-0.5121 -0.5121 -0.5121  0.9999  0.9999  0.9999
-0.5056 -0.5056 -0.5056  0.9999  0.9999  0.9999
-0.4991 -0.4991 -0.4991  0.9999  0.9999  0.9999
-0.4926 -0.4926 -0.4926  0.9999  0.9999  0.9999
-0.4860 -0.4860 -0.4860  0.9999  0.9999  0.9999
-0.4795 -0.4795 -0.4795  0.9999  0.9999  0.9999
-0.4730 -0.4730 -0.4730  0.9999  0.9999  0.9999
-0.4664 -0.4664 -0.4664  0.9999  0.9999  0.9999
-0.4598 -0.4598 -0.4598  0.9999  0.9999  0.9999
-0.4533 -0.4533 -0.4533  0.9999  0.9999  0.9999
-0.4467 -0.4467 -0.4467  0.9999  0.9999  0.9999
-0.4402 -0.4402 -0.4402  0.9999  0.9999  0.9999
-0.4336 -0.4336 -0.4336  0.9999  0.9999  0.9999
-0.4271 -0.4271 -0.4271  0.9999  0.9999  0.9999
-0.4205 -0.4205 -0.4205  0.9999  0.9999  0.9999
-0.4139 -0.4139 -0.4139  0.9999  0.9999  0.9999
-0.4073 -0.4073 -0.4073  0.9999  0.9999  0.9999
-0.4008 -0.4008 -0.4008  0.9999  0.9999  0.9999
-0.3942 -0.3942 -0.3942  0.9999  0.9999  0.9999
-0.3876 -0.3876 -0.3876  0.9999  0.9999  0.9999
-0.3810 -0.3810 -0.3810  0.9999  0.9999  0.9999
-0.3744 -0.3744 -0.3744  0.9999  0.9999  0.9999
-0.3679 -0.3679 -0.3679  0.9999  0.9999  0.9999
-0.3613 -0.3613 -0.3613  0.9999  0.9999  0.9999
-0.3547 -0.3547 -0.3547  0.9999  0.9999  0.9999
-0.3481 -0.3481 -0.3481  0.9999  0.9999  0.9999
-0.3415 -0.3415 -0.3415  0.9999  0.9999  0.9999
-0.3349 -0.3349 -0.3349  0.9999  0.9999  0.9999
-0.3283 -0.3283 -0.3283  0.9999  0.9999  0.9999
-0.3217 -0.3217 -0.3217  0.9999  0.9999  0.9999
-0.3151 -0.3151 -0.3151  0.9999  0.9999  0.9999
-0.3085 -0.3085 -0.3085  0.9999  0.9999  0.9999
-0.3019 -0.3019 -0.3019  0.9999  0.9999  0.9999
-0.2952 -0.2952 -0.2952  0.9999  0.9999  0.9999
-0.2886 -0.2886 -0.2886  0.9999  0.9999  0.9999
-0.2820 -0.2820 -0.2820  0.9999  0.9999  0.9999
-0.2754 -0.2754 -0.2754  0.9999  0.9999  0.9999
-0.2688 -0.2688 -0.2688  0.9999  0.9999  0.9999
-0.2621 -0.2621 -0.2621  0.9999  0.9999  0.9999
-0.2555 -0.2555 -0.2555  0.9999  0.9999  0.9999
-0.2489 -0.2489 -0.2489  0.9999  0.9999  0.9999
-0.2423 -0.2423 -0.2423  0.9999  0.9999  0.9999
-0.2356 -0.2356 -0.2356  0.9999  0.9999  0.9999
-0.2290 -0.2290 -0.2290  0.9999  0.9999  0.9999
-0.2224 -0.2224 -0.2224  0.9999  0.9999  0.9999
-0.2157 -0.2157 -0.2157  0.9999  0.9999  0.9999
-0.2091 -0.2091 -0.2091  0.9999  0.9999  0.9999
-0.2025 -0.2025 -0.2025  0.9999  0.9999  0.9999
-0.1958 -0.1958 -0.1958  0.9999  0.9999  0.9999
-0.1892 -0.1892 -0.1892  0.9999  0.9999  0.9999
-0.1825 -0.1825 -0.1825  0.9999  0.9999  0.9999
-0.1759 -0.1759 -0.1759  0.9999  0.9999  0.9999
-0.1693 -0.1693 -0.1693  0.9999  0.9999  0.9999
-0.1626 -0.1626 -0.1626  0.9999  0.9999  0.9999
-0.1560 -0.1560 -0.1560  0.9999  0.9999  0.9999
-0.1493 -0.1493 -0.1493  0.9999  0.9999  0.9999
-0.1427 -0.1427 -0.1427  0.9999  0.9999  0.9999
-0.1360 -0.1360 -0.1360  0.9999  0.9999  0.9999
-0.1294 -0.1294 -0.1294  0.9999  0.9999  0.9999
-0.1227 -0.1227 -0.1227  0.9999  0.9999  0.9999
-0.1161 -0.1161 -0.1161  0.9999  0.9999  0.9999
-0.1094 -0.1094 -0.1094  0.9999  0.9999  0.9999
-0.1028 -0.1028 -0.1028  0.9999  0.9999  0.9999
-0.0961 -0.0961 -0.0961  0.9999  0.9999  0.9999
-0.0894 -0.0894 -0.0894  0.9999  0.9999  0.9999
-0.0828 -0.0828 -0.0828  0.9999  0.9999  0.9999
-0.0761 -0.0761 -0.0761  0.9999  0.9999  0.9999
-0.0695 -0.0695 -0.0695  0.9999  0.9999  0.9999
-0.0628 -0.0628 -0.0628  0.9999  0.9999  0.9999
-0.0561 -0.0561 -0.0561  0.9999  0.9999  0.9999
-0.0495 -0.0495 -0.0495  0.9999  0.9999  0.9999
-0.0428 -0.0428 -0.0428  0.9999  0.9999  0.9999
-0.0362 -0.0362 -0.0362  0.9999  0.9999  0.9999
-0.0295 -0.0295 -0.0295  0.9999  0.9999  0.9999
-0.0228 -0.0228 -0.0228  0.9999  0.9999  0.9999
-0.0162 -0.0162 -0.0162  0.9999  0.9999  0.9999
-0.0095 -0.0095 -0.0095  0.9999  0.9999  0.9999
-0.0028 -0.0028 -0.0028  0.9999  0.9999  0.9999
 0.0038  0.0038  0.0038  0.9999  0.9999  0.9999
 0.0105  0.0105  0.0105  0.9999  0.9999  0.9999
 0.0172  0.0172  0.0172  0.9999  0.9999  0.9999
 0.0238  0.0238  0.0238  0.9999  0.9999  0.9999
 0.0305  0.0305  0.0305  0.9999  0.9999  0.9999
 0.0372  0.0372  0.0372  0.9999  0.9999  0.9999
 0.0438  0.0438  0.0438  0.9999  0.9999  0.9999
 0.0505  0.0505  0.0505  0.9999  0.9999  0.9999
 0.0572  0.0572  0.0572  0.9999  0.9999  0.9999
 0.0638  0.0638  0.0638  0.9999  0.9999  0.9999
 0.0705  0.0705  0.0705  0.9999  0.9999  0.9999
 0.0772  0.0772  0.0772  0.9999  0.9999  0.9999
 0.0838  0.0838  0.0838  0.9999  0.9999  0.9999
 0.0905  0.0905  0.0905  0.9999  0.9999  0.9999
 0.0972  0.0972  0.0972  0.9999  0.9999  0.9999
 0.1038  0.1038  0.1038  0.9999  0.9999  0.9999
 0.1105  0.1105  0.1105  0.9999  0.9999  0.9999
 0.1172  0.1172  0.1172  0.9999  0.9999  0.9999
 0.1238  0.1238  0.1238  0.9999  0.9999  0.9999
 0.1305  0.1305  0.1305  0.9999  0.9999  0.9999
 0.1372  0.1372  0.1372  0.9999  0.9999  0.9999
 0.1438  0.1438  0.1438  0.9999  0.9999  0.9999
 0.1505  0.1505  0.1505  0.9999  0.9999  0.9999
 0.1572  0.1572  0.1572  0.9999  0.9999  0.9999
 0.1638  0.1638  0.1638  0.9999  0.9999  0.9999
 0.1705  0.1705  0.1705  0.9999  0.9999  0.9999
 0.1772  0.1772  0.1772  0.9999  0.9999  0.9999
 0.1838  0.1838  0.1838  0.9999  0.9999  0.9999
 0.1905  0.1905  0.1905  0.9999  0.9999  0.9999
 0.1972  0.1972  0.1972  0.9999  0.9999  0.9999
 0.2038  0.2038  0.2038  0.9999  0.9999  0.9999
 0.2105  0.2105  0.2105  0.9999  0.9999  0.9999
 0.2171  0.2171  0.2171  0.9999  0.9999  0.9999
 0.2238  0.2238  0.2238  0.9999  0.9999  0.9999
 0.2304  0.2304  0.2304  0.9999  0.9999  0.9999
 0.2371  0.2371  0.2371  0.9999  0.9999  0.9999
 0.2438  0.2438  0.2438  0.9999  0.9999  0.9999
 0.2504  0.2504  0.2504  0.9999  0.9999  0.9999
 0.2571  0.2571  0.2571  0.9999  0.9999  0.9999
 0.2637  0.2637  0.2637  0.9999  0.9999  0.9999
 0.2704  0.2704  0.2704  0.9999  0.9999  0.9999
 0.2770  0.2770  0.2770  0.9999  0.9999  0.9999
 0.2837  0.2837  0.2837  0.9999  0.9999  0.9999
 0.2903  0.2903  0.2903  0.9999  0.9999  0.9999
 0.2970  0.2970  0.2970  0.9999  0.9999  0.9999
 0.3036  0.3036  0.3036  0.9999  0.9999  0.9999
 0.3103  0.3103  0.3103  0.9999  0.9999  0.9999
 0.3169  0.3169  0.3169  0.9999  0.9999  0.9999
 0.3236  0.3236  0.3236  0.9999  0.9999  0.9999
 0.3302  0.3302  0.3302  0.9999  0.9999  0.9999
 0.3368  0.3368  0.3368  0.9999  0.9999  0.9999
 0.3435  0.3435  0.3435  0.9999  0.9999  0.9999
 0.3501  0.3501  0.3501  0.9999  0.9999  0.9999
 0.3567  0.3567  0.3567  0.9999  0.9999  0.9999
 0.3634  0.3634  0.3634  0.9999  0.9999  0.9999
 0.3700  0.3700  0.3700  0.9999  0.9999  0.9999
 0.3767  0.3767  0.3767  0.9999  0.9999  0.9999
 0.3833  0.3833  0.3833  0.9999  0.9999  0.9999
 0.3899  0.3899  0.3899  0.9999  0.9999  0.9999
 0.3965  0.3965  0.3965  0.9999  0.9999  0.9999
 0.4031  0.4031  0.4031  0.9999  0.9999  0.9999
 0.4098  0.4098  0.4098  0.9999  0.9999  0.9999
 0.4164  0.4164  0.4164  0.9999  0.9999  0.9999
 0.4230  0.4230  0.4230  0.9999  0.9999  0.9999
 0.4296  0.4296  0.4296  0.9999  0.9999  0.9999
 0.4362  0.4362  0.4362  0.9999  0.9999  0.9999
 0.4428  0.4428  0.4428  0.9999  0.9999  0.9999
 0.4495  0.4495  0.4495  0.9999  0.9999  0.9999
 0.4561  0.4561  0.4561  0.9999  0.9999  0.9999
 0.4627  0.4627  0.4627  0.9999  0.9999  0.9999
 0.4693  0.4693  0.4693  0.9999  0.9999  0.9999
 0.4759  0.4759  0.4759  0.9999  0.9999  0.9999
 0.4825  0.4825  0.4825  0.9999  0.9999  0.9999
 0.4891  0.4891  0.4891  0.9999  0.9999  0.9999
 0.4957  0.4957  0.4957  0.9999  0.9999  0.9999
 0.5022  0.5022  0.5022  0.9999  0.9999  0.9999
 0.5088  0.5088  0.5088  0.9999  0.9999  0.9999
 0.5154  0.5154  0.5154  0.9999  0.9999  0.9999
 0.5220  0.5220  0.5220  0.9999  0.9999  0.9999
 0.5286  0.5286  0.5286  0.9999  0.9999  0.9999
 0.5352  0.5352  0.5352  0.9999  0.9999  0.9999
 0.5417  0.5417  0.5417  0.9999  0.9999  0.9999
 0.5483  0.5483  0.5483  0.9999  0.9999  0.9999
 0.5548  0.5548  0.5548  0.9999  0.9999  0.9999
 0.5614  0.5614  0.5614  0.9999  0.9999  0.9999
 0.5680  0.5680  0.5680  0.9999  0.9999  0.9999
 0.5745  0.5745  0.5745  0.9999  0.9999  0.9999
 0.5811  0.5811  0.5811  0.9999  0.9999  0.9999
 0.5876  0.5876  0.5876  0.9999  0.9999  0.9999
 0.5942  0.5942  0.5942  0.9999  0.9999  0.9999
 0.6007  0.6007  0.6007  0.9999  0.9999  0.9999
 0.6072  0.6072  0.6072  0.9999  0.9999  0.9999
 0.6138  0.6138  0.6138  0.9999  0.9999  0.9999
 0.6203  0.6203  0.6203  0.9999  0.9999  0.9999
 0.6268  0.6268  0.6268  0.9999  0.9999  0.9999
 0.6333  0.6333  0.6333  0.9999  0.9999  0.9999
 0.6399  0.6399  0.6399  0.9999  0.9999  0.9999
 0.6464  0.6464  0.6464  0.9999  0.9999  0.9999
 0.6529  0.6529  0.6529  0.9999  0.9999  0.9999
 0.6594  0.6594  0.6594  0.9999  0.9999  0.9999
 0.6659  0.6659  0.6659  0.9999  0.9999  0.9999
 0.6723  0.6723  0.6723  0.9999  0.9999  0.9999
 0.6788  0.6788  0.6788  0.9999  0.9999  0.9999
 0.6853  0.6853  0.6853  0.9999  0.9999  0.9999
 0.6918  0.6918  0.6918  0.9999  0.9999  0.9999
 0.6983  0.6983  0.6983  0.9999  0.9999  0.9999
 0.7047  0.7047  0.7047  0.9999  0.9999  0.9999
 0.7112  0.7112  0.7112  0.9999  0.9999  0.9999
 0.7176  0.7176  0.7176  0.9999  0.9999  0.9999
 0.7240  0.7240  0.7240  0.9999  0.9999  0.9999
 0.7304  0.7304  0.7304  0.9999  0.9999  0.9999
 0.7368  0.7368  0.7368  0.9999  0.9999  0.9999
 0.7433  0.7433  0.7433  0.9999  0.9999  0.9999
 0.7497  0.7497  0.7497  0.9999  0.9999  0.9999
 0.7561  0.7561  0.7561  0.9999  0.9999  0.9999
 0.7625  0.7625  0.7625  0.9999  0.9999  0.9999
 0.7688  0.7688  0.7688  0.9999  0.9999  0.9999
 0.7752  0.7752  0.7752  0.9999  0.9999  0.9999
 0.7815  0.7815  0.7815  0.9999  0.9999  0.9999
 0.7878  0.7878  0.7878  0.9999  0.9999  0.9999
 0.7941  0.7941  0.7941  0.9999  0.9999  0.9999
 0.8005  0.8005  0.8005  0.9999  0.9999  0.9999
 0.8068  0.8068  0.8068  0.9999  0.9999  0.9999
 0.8131  0.8131  0.8131  0.9999  0.9999  0.9999
 0.8193  0.8193  0.8193  0.9999  0.9999  0.9999
 0.8254  0.8254  0.8254  0.9999  0.9999  0.9999
 0.8316  0.8316  0.8316  0.9999  0.9999  0.9999
 0.8377  0.8377  0.8377  0.9999  0.9999  0.9999
 0.8439  0.8439  0.8439  0.9999  0.9999  0.9999
 0.8500  0.8500  0.8500  0.9999  0.9999  0.9999
 0.8562  0.8562  0.8562  0.9999  0.9999  0.9999
 0.8623  0.8623  0.8623  0.9999  0.9999  0.9999
 0.8684  0.8684  0.8684  0.9999  0.9999  0.9999
 0.8741  0.8741  0.8741  0.9999  0.9999  0.9999
 0.8799  0.8799  0.8799  0.9999  0.9999  0.9999
 0.8856  0.8856  0.8856  0.9999  0.9999  0.9999
 0.8914  0.8914  0.8914  0.9999  0.9999  0.9999
 0.8971  0.8971  0.8971  0.9999  0.9999  0.9999
 0.9029  0.9029  0.9029  0.9999  0.9999  0.9999
 0.9087  0.9087  0.9087  0.9999  0.9999  0.9999
 0.9144  0.9144  0.9144  0.9999  0.9999  0.9999
 0.9194  0.9194  0.9194  0.9999  0.9999  0.9999
 0.9241  0.9241  0.9241  0.9999  0.9999  0.9999
 0.9289  0.9289  0.9289  0.9999  0.9999  0.9999
 0.9337  0.9337  0.9337  0.9999  0.9999  0.9999
 0.9385  0.9385  0.9385  0.9999  0.9999  0.9999
 0.9433  0.9433  0.9433  0.9999  0.9999  0.9999
 0.9480  0.9480  0.9480  0.9999  0.9999  0.9999
 0.9528  0.9528  0.9528  0.9999  0.9999  0.9999
 0.9569  0.9569  0.9569  0.9999  0.9999  0.9999
 0.9597  0.9597  0.9597  0.9999  0.9999  0.9999
 0.9625  0.9625  0.9625  0.9999  0.9999  0.9999
 0.9653  0.9653  0.9653  0.9999  0.9999  0.9999
 0.9680  0.9680  0.9680  0.9999  0.9999  0.9999
 0.9708  0.9708  0.9708  0.9999  0.9999  0.9999
 0.9736  0.9736  0.9736  0.9999  0.9999  0.9999
 0.9764  0.9764  0.9764  0.9999  0.9999  0.9999
 0.9792  0.9792  0.9792  0.9999  0.9999  0.9999
 0.9805  0.9805  0.9805  0.9999  0.9999  0.9999
 0.9816  0.9816  0.9816  0.9999  0.9999  0.9999
 0.9826  0.9826  0.9826  0.9999  0.9999  0.9999
 0.9837  0.9837  0.9837  0.9999  0.9999  0.9999
 0.9848  0.9848  0.9848  0.9999  0.9999  0.9999
 0.9858  0.9858  0.9858  0.9999  0.9999  0.9999
 0.9869  0.9869  0.9869  0.9999  0.9999  0.9999
 0.9879  0.9879  0.9879  0.9999  0.9999  0.9999
 0.9888  0.9888  0.9888  0.9999  0.9999  0.9999
 0.9892  0.9892  0.9892  0.9999  0.9999  0.9999
 0.9897  0.9897  0.9897  0.9999  0.9999  0.9999
 0.9901  0.9901  0.9901  0.9999  0.9999  0.9999
 0.9905  0.9905  0.9905  0.9999  0.9999  0.9999
 0.9910  0.9910  0.9910  0.9999  0.9999  0.9999
 0.9914  0.9914  0.9914  0.9999  0.9999  0.9999
 0.9918  0.9918  0.9918  0.9999  0.9999  0.9999
 0.9923  0.9923  0.9923  0.9999  0.9999  0.9999
 0.9925  0.9925  0.9925  0.9999  0.9999  0.9999
 0.9928  0.9928  0.9928  0.9999  0.9999  0.9999
 0.9930  0.9930  0.9930  0.9999  0.9999  0.9999
 0.9932  0.9932  0.9932  0.9999  0.9999  0.9999
 0.9934  0.9934  0.9934  0.9999  0.9999  0.9999
 0.9937  0.9937  0.9937  0.9999  0.9999  0.9999
 0.9939  0.9939  0.9939  0.9999  0.9999  0.9999
 0.9941  0.9941  0.9941  0.9999  0.9999  0.9999
 0.9943  0.9943  0.9943  0.9999  0.9999  0.9999
 0.9944  0.9944  0.9944  0.9999  0.9999  0.9999
 0.9946  0.9946  0.9946  0.9999  0.9999  0.9999
 0.9947  0.9947  0.9947  0.9999  0.9999  0.9999
 0.9949  0.9949  0.9949  0.9999  0.9999  0.9999
 0.9950  0.9950  0.9950  0.9999  0.9999  0.9999
 0.9951  0.9951  0.9951  0.9999  0.9999  0.9999
 0.9953  0.9953  0.9953  0.9999  0.9999  0.9999
 0.9954  0.9954  0.9954  0.9999  0.9999  0.9999
 0.9955  0.9955  0.9955  0.9999  0.9999  0.9999
 0.9956  0.9956  0.9956  0.9999  0.9999  0.9999
 0.9957  0.9957  0.9957  0.9999  0.9999  0.9999
 0.9958  0.9958  0.9958  0.9999  0.9999  0.9999
 0.9959  0.9959  0.9959  0.9999  0.9999  0.9999
 0.9959  0.9959  0.9959  0.9999  0.9999  0.9999
 0.9960  0.9960  0.9960  0.9999  0.9999  0.9999
 0.9961  0.9961  0.9961  0.9999  0.9999  0.9999
 0.9962  0.9962  0.9962  0.9999  0.9999  0.9999
 0.9963  0.9963  0.9963  0.9999  0.9999  0.9999
 0.9963  0.9963  0.9963  0.9999  0.9999  0.9999
 0.9964  0.9964  0.9964  0.9999  0.9999  0.9999
 0.9965  0.9965  0.9965  0.9999  0.9999  0.9999
 0.9965  0.9965  0.9965  0.9999  0.9999  0.9999
 0.9966  0.9966  0.9966  0.9999  0.9999  0.9999
 0.9967  0.9967  0.9967  0.9999  0.9999  0.9999
 0.9967  0.9967  0.9967  0.9999  0.9999  0.9999
 0.9968  0.9968  0.9968  0.9999  0.9999  0.9999
 0.9968  0.9968  0.9968  0.9999  0.9999  0.9999
 0.9969  0.9969  0.9969  0.9999  0.9999  0.9999
 0.9969  0.9969  0.9969  0.9999  0.9999  0.9999
 0.9970  0.9970  0.9970  0.9999  0.9999  0.9999
 0.9970  0.9970  0.9970  0.9999  0.9999  0.9999
 0.9971  0.9971  0.9971  0.9999  0.9999  0.9999
 0.9971  0.9971  0.9971  0.9999  0.9999  0.9999
 0.9972  0.9972  0.9972  0.9999  0.9999  0.9999
 0.9972  0.9972  0.9972  0.9999  0.9999  0.9999
 0.9972  0.9972  0.9972  0.9999  0.9999  0.9999
 0.9973  0.9973  0.9973  0.9999  0.9999  0.9999
 0.9973  0.9973  0.9973  0.9999  0.9999  0.9999
 0.9973  0.9973  0.9973  0.9999  0.9999  0.9999
 0.9974  0.9974  0.9974  0.9999  0.9999  0.9999
 0.9974  0.9974  0.9974  0.9999  0.9999  0.9999
 0.9975  0.9975  0.9975  0.9999  0.9999  0.9999
 0.9975  0.9975  0.9975  0.9999  0.9999  0.9999
 0.9975  0.9975  0.9975  0.9999  0.9999  0.9999
 0.9975  0.9975  0.9975  0.9999  0.9999  0.9999
 0.9976  0.9976  0.9976  0.9999  0.9999  0.9999
 0.9976  0.9976  0.9976  0.9999  0.9999  0.9999
 0.9976  0.9976  0.9976  0.9999  0.9999  0.9999
 0.9977  0.9977  0.9977  0.9999  0.9999  0.9999
 0.9977  0.9977  0.9977  0.9999  0.9999  0.9999
 0.9977  0.9977  0.9977  0.9999  0.9999  0.9999
 0.9977  0.9977  0.9977  0.9999  0.9999  0.9999
 0.9978  0.9978  0.9978  0.9999  0.9999  0.9999
 0.9978  0.9978  0.9978  0.9999  0.9999  0.9999
 0.9978  0.9978  0.9978  0.9999  0.9999  0.9999
 0.9978  0.9978  0.9978  0.9999  0.9999  0.9999
 0.9979  0.9979  0.9979  0.9999  0.9999  0.9999
 0.9979  0.9979  0.9979  0.9999  0.9999  0.9999
